Timestamp,gender,age,district,city,education,employed,field,income ,application_user,saves_my_time,User_Interface,network_connectivity,information_security,compare_to_visiting_banks,aware_of_all_services,comments
2020/10/31 4:16:22 pm GMT+5:30,Male,26 - 35,Colombo,Malabe ,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",Yes,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Need to add QR code reading ability to detect 3rd party account details 
2020/10/31 4:16:32 pm GMT+5:30,Male,18 - 25,Colombo,Moratuwa,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,
2020/10/31 4:25:16 pm GMT+5:30,Male,26 - 35,Galle,Galle,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,
2020/10/31 4:37:33 pm GMT+5:30,Male,26 - 35,Hambantota,Walasmulla ,Bachelor's degree or equivalent,Yes,Other,"50,000 - 100,000",Yes,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Less transaction fee
2020/10/31 4:37:54 pm GMT+5:30,Female,26 - 35,Gampaha,Gampaha ,Diploma or equivalent,Yes,Architecture and engineering,"Less than 50,000",Yes,Agree,Agree,Agree,Agree,Agree,Disagree,
2020/10/31 4:41:15 pm GMT+5:30,Male,26 - 35,Galle,Elpitiya,Bachelor's degree or equivalent,Yes,Government,"Less than 50,000",Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Yes
2020/10/31 4:52:02 pm GMT+5:30,Male,18 - 25,Gampaha,Kelaniya,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,
2020/10/31 5:05:00 pm GMT+5:30,Male,36 - 55,Puttalam,Chilaw,Bachelor's degree or equivalent,Yes,Government,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,They Should add all the banks and all the service.
2020/10/31 5:08:52 pm GMT+5:30,Female,26 - 35,Colombo,Kalubowila ,Bachelor's degree or equivalent,Yes,Other,"50,000 - 100,000",Yes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,More user friendly interface 
2020/10/31 5:11:34 pm GMT+5:30,Female,26 - 35,Colombo,Homagama,Diploma or equivalent,Yes,Architecture and engineering,"Less than 50,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/10/31 5:52:38 pm GMT+5:30,Male,26 - 35,Kurunegala,Kurunegala ,Bachelor's degree or equivalent,Yes,Other,"Less than 50,000",Yes,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,
2020/10/31 5:59:49 pm GMT+5:30,Male,26 - 35,Matara,Matara,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2020/10/31 6:15:23 pm GMT+5:30,Female,26 - 35,Kandy,Katugastota ,Bachelor's degree or equivalent,Yes,Government,"Less than 50,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/10/31 6:46:34 pm GMT+5:30,Male,18 - 25,Colombo,Piliyandala,Bachelor's degree or equivalent,Yes,Science and technology,"Less than 50,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,
2020/10/31 6:51:34 pm GMT+5:30,Female,26 - 35,Colombo,Colombo,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Mobile banking apps can use biometrics to access the application. It can allow users to personalize their application and have more short cuts to access the main functionalities in the application. 
2020/10/31 6:58:32 pm GMT+5:30,Female,26 - 35,Matara,Matara,Bachelor's degree or equivalent,Yes,Education,"50,000 - 100,000",Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,
2020/10/31 7:05:42 pm GMT+5:30,Male,18 - 25,Colombo,Kesbewa,Bachelor's degree or equivalent,No,Other,"Less than 50,000",Yes,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Has to improve user frienly interface and the security 
2020/10/31 7:28:18 pm GMT+5:30,Female,26 - 35,Kalutara,Bandaragama ,Bachelor's degree or equivalent,Yes,Education,"Less than 50,000",Yes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,
2020/10/31 7:32:54 pm GMT+5:30,Female,26 - 35,Kalutara,Mathugama ,Bachelor's degree or equivalent,Yes,Government,"Less than 50,000",Yes,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Some times get verification code hardly 
2020/10/31 8:21:42 pm GMT+5:30,Female,26 - 35,Colombo,Colombo 4,Bachelor's degree or equivalent,Yes,Science and technology,"Less than 50,000",Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,
2020/10/31 8:37:42 pm GMT+5:30,Male,18 - 25,Colombo,Moratuwa,Diploma or equivalent,Yes,Other,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/10/31 9:01:29 pm GMT+5:30,Female,18 - 25,Colombo,Piliyandala ,Bachelor's degree or equivalent,Yes,Science and technology,"151,000 - 200,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,
2020/10/31 9:31:29 pm GMT+5:30,Male,26 - 35,Colombo,Wellawatta,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,
2020/10/31 9:35:11 pm GMT+5:30,Male,26 - 35,Colombo,Maradana,Advance level or equivalent,Yes,Government,"Less than 50,000",Yes,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,
2020/10/31 10:10:59 pm GMT+5:30,Male,18 - 25,Gampaha,Mawaramandiya ,Bachelor's degree or equivalent,Yes,Sales,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
2020/11/01 8:22:44 am GMT+5:30,Male,18 - 25,Colombo,Piliyandala ,Advance level or equivalent,Yes,Sales,"101,000 - 150,000",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,
2020/11/01 10:00:18 am GMT+5:30,Female,26 - 35,Colombo,Kahathuduwa,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,
2020/11/01 1:49:03 pm GMT+5:30,Female,18 - 25,Gampaha,Gampaha ,Bachelor's degree or equivalent,Yes,Other,"50,000 - 100,000",Yes,Agree,Neutral,Neutral,Neutral,Agree,Agree,
2020/11/01 10:51:47 pm GMT+5:30,Female,18 - 25,Monaragala,Bibile,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,The UX needs a lot of improvement and availability of provision to change personal details of the bank account. 
2020/11/01 11:04:58 pm GMT+5:30,Male,26 - 35,Kalutara,Paiyagala South,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,
2020/11/03 3:01:55 pm GMT+5:30,Male,26 - 35,Gampaha,JaEla,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,
2020/11/11 3:34:51 pm GMT+5:30,Male,18 - 25,Ratnapura,Ratnapura,Bachelor's degree or equivalent,No,Other,"Less than 50,000",Yes,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,"BoC app - Improve UI,  Finger Print authentication"
2020/11/11 4:16:24 pm GMT+5:30,Female,18 - 25,Colombo,Rajagiriya ,Bachelor's degree or equivalent,No,Architecture and engineering,"Less than 50,000",Yes,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Should be much user friendly and easy to understand  bcz we are doing critical transactions 
2020/11/11 5:13:56 pm GMT+5:30,Male,26 - 35,Kandy,Pilimathalawa ,Bachelor's degree or equivalent,No,Other,"Less than 50,000",Yes,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,"Without complex and ugly ui designs, with Simple and nice UI banking app can be more helpful to do our day to day banking tasks "
2020/11/12 7:17:58 am GMT+5:30,Male,26 - 35,Kandy,Pilimathalawa ,Bachelor's degree or equivalent,No,Other,"Less than 50,000",Yes,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,"Without complex and ugly ui designs, with Simple and nice UI banking app can be more helpful to do our day to day banking tasks "
2020/11/13 7:53:31 pm GMT+5:30,Female,18 - 25,Colombo,Rajagiriya ,Bachelor's degree or equivalent,No,Architecture and engineering,"Less than 50,000",Yes,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Should be much user friendly and easy to understand  bcz we are doing critical transactions 
